RiskIssueKey,RiskIssueID,ProjectKey,RecordType,RiskTitle,RiskCategory,Probability,Impact,RiskScore,RiskSeverity,Owner,IdentifiedDateKey,DueDateKey,ClosedDateKey,IdentifiedDate,DueDate,ClosedDate,RiskStatus,MitigationStatus,IsCritical,IsOverdue
1,RI-001-01,1,Risk,Committed spend limits recovery options,Cost,5,5,25,Critical,Security Lead,20260101,20260315,,2026-01-01,2026-03-15,,Monitoring,In Progress,1,1
2,RI-001-02,1,Risk,Supplier lead time threatens the next gate — Connected Asset Insights,Schedule,4,3,12,High,Supplier Manager,20251023,20260201,,2025-10-23,2026-02-01,,Mitigated,Completed,0,0
3,RI-001-03,1,Issue,Performance margin may not meet the target,Technical,4,4,16,High,Release Manager,20260126,20260416,,2026-01-26,2026-04-16,,Open,In Progress,0,1
4,RI-001-04,1,Risk,Committed spend limits recovery options — Connected Asset Insights,Cost,3,3,9,Medium,Technical Lead,20260530,20260714,20260616,2026-05-30,2026-07-14,2026-06-16,Closed,Completed,0,0
5,RI-001-05,1,Risk,Integration sequence may compress validation,Schedule,3,1,3,Low,Systems Lead,20251103,20260205,20260101,2025-11-03,2026-02-05,2026-01-01,Closed,Completed,0,0
6,RI-001-06,1,Issue,Critical skill coverage is below demand — Connected Asset Insights,Resource,4,3,12,High,Security Lead,20260419,20260630,,2026-04-19,2026-06-30,,Mitigated,Completed,0,0
7,RI-001-07,1,Risk,Material quotation may exceed the estimate — Connected Asset Insights,Cost,2,2,4,Low,Supplier Manager,20260214,20260419,,2026-02-14,2026-04-19,,Mitigated,Completed,0,0
8,RI-002-01,2,Risk,Late design decision may affect downstream work,Schedule,4,2,8,Medium,Data Lead,20260608,20260811,,2026-06-08,2026-08-11,,Open,Not Started,0,0
9,RI-002-02,2,Risk,Scope clarification may require a budget change,Cost,3,4,12,High,Project Manager,20260613,20260811,,2026-06-13,2026-08-11,,Monitoring,Completed,0,0
10,RI-002-03,2,Issue,Vendor component readiness is uncertain — Predictive Maintenance Engine,Dependency,3,4,12,High,Product Owner,20260803,20260811,,2026-08-03,2026-08-11,,Monitoring,In Progress,0,0
11,RI-003-01,3,Risk,Interface behavior remains unproven,Technical,3,4,12,High,Technical Lead,20260807,20260811,,2026-08-07,2026-08-11,,Monitoring,Completed,0,0
12,RI-003-02,3,Risk,Environment parity is not yet demonstrated — Industrial Data Fabric,Technical,2,4,8,Medium,Systems Lead,20260704,20260811,,2026-07-04,2026-08-11,,Open,Not Started,0,0
13,RI-003-03,3,Risk,Competing portfolio priority constrains staffing,Resource,3,4,12,High,Security Lead,20260722,20260811,,2026-07-22,2026-08-11,,Open,Not Started,0,0
14,RI-003-04,3,Risk,Shared engineer availability may delay delivery,Resource,5,5,25,Critical,Supplier Manager,20260703,20260811,,2026-07-03,2026-08-11,,Open,Not Started,1,0
15,RI-003-05,3,Risk,Technical debt may complicate integration — Industrial Data Fabric,Technical,3,3,9,Medium,Release Manager,20260410,20260713,20260605,2026-04-10,2026-07-13,2026-06-05,Closed,Completed,0,0
16,RI-003-06,3,Risk,Material quotation may exceed the estimate,Cost,2,4,8,Medium,Technical Lead,20260525,20260709,20260721,2026-05-25,2026-07-09,2026-07-21,Closed,Completed,0,0
17,RI-003-07,3,Issue,Critical skill coverage is below demand,Resource,5,5,25,Critical,Systems Lead,20260613,20260811,,2026-06-13,2026-08-11,,Open,In Progress,1,0
18,RI-004-01,4,Issue,Customer test access is not yet confirmed,Dependency,5,5,25,Critical,Quality Lead,20251215,20260210,,2025-12-15,2026-02-10,,Open,Not Started,1,1
19,RI-004-02,4,Risk,Test environment availability may move the baseline — Secure Edge Gateway,Schedule,4,5,20,Critical,Finance Partner,20260102,20260426,,2026-01-02,2026-04-26,,Mitigated,Completed,0,0
20,RI-004-03,4,Risk,Verification evidence is incomplete — Secure Edge Gateway,Quality,2,4,8,Medium,Data Lead,20260315,20260526,,2026-03-15,2026-05-26,,Monitoring,In Progress,0,1
